lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
2,2,godel,linear,3,marginal,test,24.3200,38.2400,22.5900,82.0700,0.027814,20,2026-07-19T23:49:15
2,0,lukasiewicz,squared,3,raw,val,24.9800,37.3800,21.4000,73.8200,0.026889,20,2026-07-19T23:51:45
2,0,lukasiewicz,squared,3,hard,val,24.9800,38.3600,24.9800,100.0000,0.026889,20,2026-07-19T23:51:45
2,0,lukasiewicz,squared,3,marginal,val,24.9800,38.6400,23.0400,83.5400,0.026889,20,2026-07-19T23:51:45
2,0,lukasiewicz,squared,3,raw,test,24.2300,37.2400,20.6700,73.0900,0.027382,20,2026-07-19T23:51:46
2,0,lukasiewicz,squared,3,hard,test,24.2300,37.0100,24.2300,100.0000,0.027382,20,2026-07-19T23:51:46
2,0,lukasiewicz,squared,3,marginal,test,24.2300,37.8700,22.1100,81.9600,0.027382,20,2026-07-19T23:51:46
2,1,lukasiewicz,squared,3,raw,val,24.0800,37.7600,20.7400,73.1400,0.025059,20,2026-07-19T23:54:27
2,1,lukasiewicz,squared,3,hard,val,24.0800,38.0600,24.0800,100.0000,0.025059,20,2026-07-19T23:54:27
2,1,lukasiewicz,squared,3,marginal,val,24.0800,38.7800,22.3200,83.2400,0.025059,20,2026-07-19T23:54:27
2,1,lukasiewicz,squared,3,raw,test,24.1500,37.3200,20.5700,73.8500,0.024702,20,2026-07-19T23:54:28
2,1,lukasiewicz,squared,3,hard,test,24.1500,37.7800,24.1500,100.0000,0.024702,20,2026-07-19T23:54:28
2,1,lukasiewicz,squared,3,marginal,test,24.1500,37.9300,21.8400,82.4100,0.024702,20,2026-07-19T23:54:28
2,2,lukasiewicz,squared,3,raw,val,24.8800,37.3200,21.1600,73.3800,0.024977,20,2026-07-19T23:57:19
2,2,lukasiewicz,squared,3,hard,val,24.8800,38.4000,24.8800,100.0000,0.024977,20,2026-07-19T23:57:19
2,2,lukasiewicz,squared,3,marginal,val,24.8800,38.4200,22.6000,81.8400,0.024977,20,2026-07-19T23:57:19
2,2,lukasiewicz,squared,3,raw,test,24.8500,36.8100,20.7400,73.2500,0.026233,20,2026-07-19T23:57:20
2,2,lukasiewicz,squared,3,hard,test,24.8500,37.9900,24.8500,100.0000,0.026233,20,2026-07-19T23:57:20
2,2,lukasiewicz,squared,3,marginal,test,24.8500,38.0800,22.5100,82.2800,0.026233,20,2026-07-19T23:57:20
2,0,lukasiewicz,linear,0,raw,val,23.7000,37.6200,21.1400,78.9200,0.007734,20,2026-07-19T23:59:14
2,0,lukasiewicz,linear,0,hard,val,23.7000,37.3600,23.7000,100.0000,0.007734,20,2026-07-19T23:59:14
2,0,lukasiewicz,linear,0,marginal,val,23.7000,37.5800,21.6000,83.9400,0.007734,20,2026-07-19T23:59:14
2,0,lukasiewicz,linear,0,raw,test,24.2700,37.3700,21.3700,77.9400,0.008848,20,2026-07-19T23:59:15
2,0,lukasiewicz,linear,0,hard,test,24.2700,38.0200,24.2700,100.0000,0.008848,20,2026-07-19T23:59:15
2,0,lukasiewicz,linear,0,marginal,test,24.2700,38.0600,22.1600,83.1300,0.008848,20,2026-07-19T23:59:15
2,1,lukasiewicz,linear,0,raw,val,24.2000,37.4200,21.3600,79.1200,0.007806,20,2026-07-20T00:01:05
2,1,lukasiewicz,linear,0,hard,val,24.2000,38.3400,24.2000,100.0000,0.007806,20,2026-07-20T00:01:05
2,1,lukasiewicz,linear,0,marginal,val,24.2000,38.4800,22.1200,84.1200,0.007806,20,2026-07-20T00:01:05
2,1,lukasiewicz,linear,0,raw,test,23.8000,37.4000,21.3800,78.9400,0.008015,20,2026-07-20T00:01:05
2,1,lukasiewicz,linear,0,hard,test,23.8000,37.1800,23.8000,100.0000,0.008015,20,2026-07-20T00:01:05
2,1,lukasiewicz,linear,0,marginal,test,23.8000,37.7500,22.0600,84.2600,0.008015,20,2026-07-20T00:01:05
2,2,lukasiewicz,linear,0,raw,val,24.6600,37.4400,21.5200,78.4800,0.009841,20,2026-07-20T00:02:58
2,2,lukasiewicz,linear,0,hard,val,24.6600,38.5000,24.6600,100.0000,0.009841,20,2026-07-20T00:02:58
2,2,lukasiewicz,linear,0,marginal,val,24.6600,38.3200,22.5600,83.6800,0.009841,20,2026-07-20T00:02:58
2,2,lukasiewicz,linear,0,raw,test,24.2700,38.0100,21.6100,78.4800,0.009778,20,2026-07-20T00:02:58
2,2,lukasiewicz,linear,0,hard,test,24.2700,37.9300,24.2700,100.0000,0.009778,20,2026-07-20T00:02:58
2,2,lukasiewicz,linear,0,marginal,test,24.2700,38.1900,22.2900,84.3200,0.009778,20,2026-07-20T00:02:58
