lambda,seed,residuum,penalty,warmup,mode,split,acc_fine,acc_coarse,exact,consist,soft_viol,epochs,timestamp
0.1,1,lukasiewicz,linear,3,hard,val,24.4400,37.3600,24.4400,100.0000,0.031915,20,2026-07-19T22:19:36
0.1,1,lukasiewicz,linear,3,marginal,val,24.4400,37.4200,22.1000,81.9000,0.031915,20,2026-07-19T22:19:36
0.1,1,lukasiewicz,linear,3,raw,test,24.4900,37.6400,20.6400,71.6700,0.031057,20,2026-07-19T22:19:37
0.1,1,lukasiewicz,linear,3,hard,test,24.4900,37.4500,24.4900,100.0000,0.031057,20,2026-07-19T22:19:37
0.1,1,lukasiewicz,linear,3,marginal,test,24.4900,38.3700,22.3900,81.4800,0.031057,20,2026-07-19T22:19:37
0.1,2,lukasiewicz,linear,3,raw,val,24.9800,37.5000,21.2400,72.4800,0.032669,20,2026-07-19T22:22:35
0.1,2,lukasiewicz,linear,3,hard,val,24.9800,37.9800,24.9800,100.0000,0.032669,20,2026-07-19T22:22:35
0.1,2,lukasiewicz,linear,3,marginal,val,24.9800,38.6200,23.1600,82.9600,0.032669,20,2026-07-19T22:22:35
0.1,2,lukasiewicz,linear,3,raw,test,24.4400,37.3700,20.7100,72.1600,0.032173,20,2026-07-19T22:22:35
0.1,2,lukasiewicz,linear,3,hard,test,24.4400,37.7600,24.4400,100.0000,0.032173,20,2026-07-19T22:22:35
0.1,2,lukasiewicz,linear,3,marginal,test,24.4400,38.2600,22.5700,82.1800,0.032173,20,2026-07-19T22:22:35
0.1,3,lukasiewicz,linear,3,raw,val,25.1600,37.9800,21.5400,72.3800,0.037512,20,2026-07-19T22:25:26
0.1,3,lukasiewicz,linear,3,hard,val,25.1600,38.2800,25.1600,100.0000,0.037512,20,2026-07-19T22:25:26
0.1,3,lukasiewicz,linear,3,marginal,val,25.1600,39.2000,23.4000,83.1000,0.037512,20,2026-07-19T22:25:26
0.1,3,lukasiewicz,linear,3,raw,test,24.8200,36.9600,20.5900,72.1800,0.035822,20,2026-07-19T22:25:26
0.1,3,lukasiewicz,linear,3,hard,test,24.8200,37.9400,24.8200,100.0000,0.035822,20,2026-07-19T22:25:26
0.1,3,lukasiewicz,linear,3,marginal,test,24.8200,38.0000,22.6700,83.2400,0.035822,20,2026-07-19T22:25:26
0.1,4,lukasiewicz,linear,3,raw,val,24.8800,37.4400,20.6600,72.4600,0.034468,20,2026-07-19T22:28:24
0.1,4,lukasiewicz,linear,3,hard,val,24.8800,38.0600,24.8800,100.0000,0.034468,20,2026-07-19T22:28:24
0.1,4,lukasiewicz,linear,3,marginal,val,24.8800,38.1000,22.5800,83.0200,0.034468,20,2026-07-19T22:28:24
0.1,4,lukasiewicz,linear,3,raw,test,24.3300,36.9400,20.4500,72.3900,0.033716,20,2026-07-19T22:28:25
0.1,4,lukasiewicz,linear,3,hard,test,24.3300,37.4400,24.3300,100.0000,0.033716,20,2026-07-19T22:28:25
0.1,4,lukasiewicz,linear,3,marginal,test,24.3300,38.0000,22.3500,82.7600,0.033716,20,2026-07-19T22:28:25
0.5,0,lukasiewicz,linear,3,raw,val,24.8800,38.0000,21.4200,74.8400,0.024603,20,2026-07-19T22:31:35
0.5,0,lukasiewicz,linear,3,hard,val,24.8800,38.2400,24.8800,100.0000,0.024603,20,2026-07-19T22:31:35
0.5,0,lukasiewicz,linear,3,marginal,val,24.8800,39.0000,23.0000,82.8800,0.024603,20,2026-07-19T22:31:35
0.5,0,lukasiewicz,linear,3,raw,test,24.6300,37.0300,21.0700,74.6200,0.025211,20,2026-07-19T22:31:36
0.5,0,lukasiewicz,linear,3,hard,test,24.6300,37.8500,24.6300,100.0000,0.025211,20,2026-07-19T22:31:36
0.5,0,lukasiewicz,linear,3,marginal,test,24.6300,38.2100,22.4400,82.3200,0.025211,20,2026-07-19T22:31:36
0.5,1,lukasiewicz,linear,3,raw,val,24.9200,37.3600,20.7200,74.5000,0.020568,20,2026-07-19T22:34:40
0.5,1,lukasiewicz,linear,3,hard,val,24.9200,38.6600,24.9200,100.0000,0.020568,20,2026-07-19T22:34:40
0.5,1,lukasiewicz,linear,3,marginal,val,24.9200,38.5000,22.5000,82.6400,0.020568,20,2026-07-19T22:34:40
0.5,1,lukasiewicz,linear,3,raw,test,24.6400,37.6200,21.3200,74.7700,0.020482,20,2026-07-19T22:34:40
0.5,1,lukasiewicz,linear,3,hard,test,24.6400,37.9100,24.6400,100.0000,0.020482,20,2026-07-19T22:34:40
0.5,1,lukasiewicz,linear,3,marginal,test,24.6400,38.3300,22.6200,83.0900,0.020482,20,2026-07-19T22:34:40
0.5,2,lukasiewicz,linear,3,raw,val,24.1200,37.1000,20.6600,73.7400,0.023621,20,2026-07-19T22:37:32
0.5,2,lukasiewicz,linear,3,hard,val,24.1200,37.1800,24.1200,100.0000,0.023621,20,2026-07-19T22:37:32
